rank,Np,mean,mean_permsg,var,s2,N,dev,s,dev_mean,dev_mean_emp
0,1,0.326197,0.000033,156.400816,156.416458,10000,12.506031,12.506657,7.000000,0.000008
1,2,0.861135,0.000043,130.588513,130.595043,20000,11.427533,11.427819,0.030000,0.001000
1,3,1.720509,0.000057,133.271046,133.275488,30000,11.544308,11.544500,0.030000,0.001000
0,4,2.340963,0.000059,548.298812,548.312520,40000,23.415781,23.416074,0.030000,0.001000
2,5,2.866773,0.000057,545.430115,545.441023,50000,23.354445,23.354679,0.030000,0.001000
0,6,3.465646,0.000058,532.061528,532.070396,60000,23.066459,23.066651,0.030000,0.001000
1,7,3.940854,0.000056,597.415236,597.423771,70000,24.442079,24.442254,0.030000,0.001000
2,8,4.553071,0.000057,552.729910,552.736820,80000,23.510209,23.510356,0.030000,0.001000
2,9,5.210715,0.000058,707.812742,707.820607,90000,26.604750,26.604898,0.030000,0.001000
3,10,5.714718,0.000057,1223.716899,1223.729136,100000,34.981665,34.981840,0.030000,0.001000
2,11,6.142852,0.000056,625.049820,625.055503,110000,25.000996,25.001110,0.030000,0.001000
2,12,6.689109,0.000056,602.551972,602.556993,120000,24.546934,24.547036,0.030000,0.001000
3,13,11.473849,0.000088,1255.412650,1255.422307,130000,35.431803,35.431939,0.030000,0.001000
0,14,13.274850,0.000095,712.354199,712.359287,140000,26.689964,26.690060,0.030000,0.000008
3,15,13.251948,0.000088,620.517052,620.521188,150000,24.910180,24.910263,0.030000,0.000008
6,16,13.214895,0.000083,618.459292,618.463157,160000,24.868842,24.868920,0.030000,0.001000
4,17,14.176682,0.000083,587.927007,587.930466,170000,24.247206,24.247277,0.030000,0.001000
3,18,15.019122,0.000083,1262.696323,1262.703338,180000,35.534439,35.534537,0.030000,0.001000
2,19,15.543299,0.000082,630.755828,630.759148,190000,25.114853,25.114919,0.030000,0.001000
0,20,16.644646,0.000083,620.180575,620.183676,200000,24.903425,24.903487,0.030000,0.001000
5,21,17.364951,0.000083,635.036145,635.039169,210000,25.199924,25.199984,0.030000,0.001000
3,22,18.142482,0.000082,638.205239,638.208140,220000,25.262724,25.262782,0.030000,0.001000
6,23,18.927876,0.000082,607.256390,607.259031,230000,24.642573,24.642626,0.030000,0.001000
6,24,19.885659,0.000083,627.271384,627.273997,240000,25.045386,25.045439,0.030000,0.001000